NAME;LOGO_URL;INFO_URL;ALT_MIN;ALT_MAX;PISTE_BLEUE;PISTE_ROUGE;PISTE_NOIRE;REMONTEES;PISTES;KM_PISTES;DEVISE;TARIF_ADULTE;TARIF_SENIOR;TARIF_JEUNE;TARIF_ENFANT;MAGICPASS;SITE_URL;WEBCAM_URL;PLAN_I_URL;PLAN_URL;PLAN_PDF
4 Vallées;https://verbier4vallees.ch/_dev/styllab-test/logo/verbier-4-vallees.svg;https://www.skiinfo.fr/les-4-vallees/stations-de-ski;;;;;;72;;410;CHF;89;0;76;45;;;https://verbier4vallees.ch/fr/informations-utiles/webcams;https://verbier4vallees.ch/fr/informations-utiles/carte-interactive;;
AdelBoden;https://www.adelboden-lenk.ch/static/img/logo.svg;https://www.skiinfo.fr/oberland-bernois/adelboden/station-de-ski;1068;2362;40;52;7;55;85;210;CHF;73;73;51;29;;https://www.adelboden-lenk.ch/fr/Experience/Region_de_ski;https://www.adelboden-lenk.ch/fr/Service/Webcams;https://www.infosnow.ch/~apgmontagne/?id=62&tab=map-wi&;https://cdn.bfldr.com/WIENNW6Q/as/6rsxpjtf2nj7jtnh86hwnbf/Adelboden?auto=webp&width=616&width=1024;https://piste-maps.co.uk/Piste-Maps/Switzerland/Adelboden-Lenk-Piste-Map-2020.pdf
Aeschiallmend;https://skilift-aeschiried.ch/wp-content/uploads/2020/09/Skilift_Aeschiried.svg;https://www.skiinfo.fr/oberland-bernois/aeschi/station-de-ski;859;1385;42;41;17;4;5;12;CHF;33;33;23;23;oui;https://skilift-aeschiried.ch/skilift-details/;https://www.aeschi-tourismus.ch/fr/sur-aeschi/des-informations-locales/webcams;;https://skilift-aeschiried.ch/wp-content/uploads/2023/08/pistenplan-1024x930.jpg;
Aletsch Arena;https://shop.aletscharena.ch/themes/aletsch/assets/logo.svg;https://www.skiinfo.fr/valais/aletsch-arena/station-de-ski;1845;2869;38;45;11;36;97;111;CHF;70;70;60;35;;https://www.aletscharena.ch/fr/planifier-reserver/hiver/ski;https://www.aletscharena.ch/fr/ici-maintenant/en-direct/webcams;https://www.siscontrol.ch/b006/sismap/aletsch/2?hide=;https://www.aletscharena.ch/fileadmin/_processed_/1/8/csm_ALETSCH-Pistenplan-54-Web_e4b3179c8b.jpg;https://www.aletscharena.ch/fileadmin/Mediendatenbank/Dokumente/Aletsch_Arena_AG/Prospekte/Winterplan_25_26_web.pdf
Alpsteinblick - Gonten;https://www.skilifte-alpsteinblick.ch/typo3conf/ext/alpsteinblick_template/Resources/Public/Images/logo_skilift_header.png;https://www.skiresort.fr/domaine-skiable/alpsteinblick-gonten/;892;1142;60;40;0;3;5;4;CHF;27;27;20;20;;https://www.skilifte-alpsteinblick.ch/;https://www.skilifte-alpsteinblick.ch/index.php?id=3441;;https://media.snow-online.de/images/ecu/entity/e_skiresort/ski-resort_gonten_n72970-160590-3_raw.jpg;
Amden;https://www.amden-weesen.ch/_Resources/Persistent/75734fedf0ccbf6aba97f08e62c35a5396d19f94/AWT_Logo_rgb.png;https://www.skiinfo.fr/suisse-orientale/amden/station-de-ski;1000;1634;92;8;0;6;12;20;CHF;38;38;24;24;;https://www.amden-weesen.ch/en/winter/skiing-amden;https://www.amden-weesen.ch/en/plan-your-trip/webcams;https://winter.intermaps.com/amden;https://cdn.bfldr.com/WIENNW6Q/as/sntm5p4m99qtx35vvwqff8/Amden?auto=webp&width=2048;
Andermatt;https://www.andermatt-sedrun-disentis.ch/themes/andermatt/assets/footer.svg;https://www.skiinfo.fr/les-grisons/andermatt-sedrun/station-de-ski;1444;2963;26;50;24;22;43;120;CHF;89;81;45;45;;https://www.andermatt-sedrun-disentis.ch/fr/pages/discover;https://www.andermatt-sedrun-disentis.ch/fr/stories/webcams;https://winter.intermaps.com/andermatt_sedrun_disentis;https://vcdn.bergfex.at/images/resized/1c/ae8211030bc7b21c_e2f3e6cd9b19a856@2x.jpg;https://files.skimap.org/kfp2b8oa1txipb1pvgf6e124vbr8.pdf
Andermatt Sedrun Disentis;https://www.andermatt-sedrun-disentis.ch/themes/andermatt/assets/footer.svg;https://www.skiinfo.fr/les-grisons/andermatt-sedrun/station-de-ski;1444;2963;26;50;24;22;43;120;CHF;89;81;45;45;;https://www.andermatt-sedrun-disentis.ch/fr/pages/discover;https://www.andermatt-sedrun-disentis.ch/fr/stories/webcams;https://winter.intermaps.com/andermatt_sedrun_disentis;https://vcdn.bergfex.at/images/resized/1c/ae8211030bc7b21c_e2f3e6cd9b19a856@2x.jpg;https://files.skimap.org/kfp2b8oa1txipb1pvgf6e124vbr8.pdf
Anzère;https://www.anzere.ch/_nuxt/2d0631346506aa55c0b6922cbf95eee6.svg;https://www.skiinfo.fr/valais/anzere/station-de-ski;1500;2420;33;41;26;14;27;58;CHF;68;60;44;40;oui;https://www.anzere.ch/fr;https://www.anzere.ch/fr/webcams-352;https://www.anzere.ch/fr/remontees-mecaniques/etat-des-installations/;https://cdn.bfldr.com/WIENNW6Q/as/74vqs7cfbc8r5vnh2f8h636/Anzre?auto=webp&width=2048;
Appenzell-Sollegg;https://www.skilift-sollegg.ch/images/pictures/w7e2b1215282b002e9f3d783712c8077/Logo%20Skilift%20Sollegg%20AG.png?w=160&h=142;;813;1204;25;50;25;1;4;7;CHF;27;27;20;20;;https://www.skilift-sollegg.ch/;;;https://www.skilift-sollegg.ch/images/pictures/w7e2b170f091e000956cb36deb511a89/sollegg_pistenplan_ohne_restaurant.jpg?w=640&h=428;
